theme,n_comments,n_videos_appearing_in,high_intent_rate,neg_or_conf_rate,account_concentration_hhi,view_lift,payout_lift
Exclamations and Questions,229,46,0.1091703056768559,0.9912663755458515,0.112476370510397,1.3627509739286785,1.0
Media Identification,87,23,0.896551724137931,0.7931034482758621,0.16446124763705097,2.6182199580461494,0.7275037369207772
Smooth and Youthful,86,20,0.12790697674418605,0.8372093023255814,0.26,20.774348216961343,0.8476457399103139
Step-by-Step Instructions,76,15,0.14473684210526316,0.7631578947368421,0.13777777777777778,1.722355409050045,2.306352765321375
Personal Statements,51,17,0.0392156862745098,0.9411764705882353,0.14878892733564014,12.668864249325742,1.796487294469357
Positive Affirmations,47,18,0.0,0.9361702127659575,0.17901234567901236,5.433922685046449,1.175336322869955
Observations on Women,46,14,0.021739130434782608,0.8478260869565217,0.19387755102040816,5.295774647887324,1.4214499252615844
Wordplay on 'Knee',32,10,0.15625,0.9375,0.30000000000000004,1.596344021576266,1.2724588938714498
AI or Fake Content,17,8,0.058823529411764705,0.8235294117647058,0.46875,36.967186095295176,1.4214499252615844
Speeding and Traffic Stops,15,3,0.0,1.0,0.5555555555555556,199.56068324842673,2.9895366218236172
Conflict and Consequences,3,1,0.0,1.0,1.0,,
