rank,percentile,input_url,n_comments,n_replies,n_total_text_rows,high_rate,negative_or_confusion_rate,replies_to_comments_ratio,winner_score,watch_signal_score
1,1.0,https://www.instagram.com/reel/DXDougNoQU5/,3,4,7,0.7142857142857143,0.42857142857142855,1.3333333333333333,0.5,0.6666666666666666
2,0.9473684210526315,https://www.instagram.com/reel/DW9ebHtPnBL/,4,2,6,0.5,0.5,0.5,0.25,0.5
3,0.8947368421052632,https://www.instagram.com/p/DW44MSXDd5n/,8,1,7,0.5714285714285714,0.8571428571428571,0.125,0.14285714285714285,0.42857142857142855
4,0.8421052631578947,https://www.instagram.com/reel/DXACv8kmL-m/,64,34,91,0.42857142857142855,0.6263736263736264,0.53125,0.11538461538461536,0.4102564102564103
5,0.7894736842105263,https://www.instagram.com/reel/DW4VNdsDuPA/,10,6,16,0.375,0.625,0.6,0.0625,0.375
6,0.7368421052631579,https://www.instagram.com/reel/DW28Wv1kjmN/,52,4,48,0.3333333333333333,0.6666666666666666,0.07692307692307693,0.0,0.3333333333333333
7,0.6842105263157895,https://www.instagram.com/reel/DW40azaiJZ1/,12,1,12,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.0,0.3333333333333333
8,0.631578947368421,https://www.instagram.com/reel/DW3elyYjcp2/,4,3,7,0.2857142857142857,0.5714285714285714,0.75,0.0,0.3333333333333333
9,0.5789473684210527,https://www.instagram.com/reel/DXAK2BrkttL/,2,3,5,0.2,0.4,1.5,0.0,0.3333333333333333
10,0.5263157894736842,https://www.instagram.com/reel/DW3PN7dCL-0/,13,3,12,0.08333333333333333,0.3333333333333333,0.23076923076923078,-0.08333333333333333,0.2777777777777778
11,0.47368421052631576,https://www.instagram.com/reel/DW9SgHhuO6i/,25,21,45,0.022222222222222223,0.3333333333333333,0.84,-0.14444444444444443,0.23703703703703705
12,0.42105263157894735,https://www.instagram.com/reel/DW_x3ZrO2Wz/,106,17,89,0.12359550561797752,0.550561797752809,0.16037735849056603,-0.15168539325842698,0.23220973782771534
13,0.3684210526315789,https://www.instagram.com/reel/DW4F2bDCLLd/,17,7,22,0.09090909090909091,0.5,0.4117647058823529,-0.1590909090909091,0.2272727272727273
14,0.3157894736842105,https://www.instagram.com/reel/DW20px2kiNY/,177,23,162,0.11728395061728394,0.7716049382716049,0.12994350282485875,-0.2685185185185185,0.154320987654321
15,0.2631578947368421,https://www.instagram.com/reel/DXAkYV4DpiT/,17,1,13,0.07692307692307693,0.6923076923076923,0.058823529411764705,-0.2692307692307692,0.15384615384615385
16,0.21052631578947367,https://www.instagram.com/reel/DXCSL_Xjuxm/,10,1,10,0.1,0.8,0.1,-0.30000000000000004,0.1333333333333333
17,0.15789473684210525,https://www.instagram.com/reel/DW34A7uCOwb/,65,6,69,0.028985507246376812,0.8695652173913043,0.09230769230769231,-0.40579710144927533,0.06280193236714977
18,0.10526315789473684,https://www.instagram.com/reel/DW9ZM2xki_o/,9,0,8,0.0,0.875,0.0,-0.4375,0.041666666666666664
19,0.05263157894736842,https://www.instagram.com/reel/DW3hkdljRnT/,11,0,7,0.0,1.0,0.0,-0.5,0.0
20,0.0,https://www.instagram.com/reel/DW6w4h1j08o/,5,0,5,0.0,1.0,0.0,-0.5,0.0
