Platform,Views,Likes,Comments,Shares,Payout,Date,URL
instagram,1623375,49020,199,0,$400.00,2026-04-07,https://www.instagram.com/reel/DW20px2kiNY/
youtube,1359107,23000,258,0,$400.00,2026-04-08,https://youtube.com/shorts/zxvZIusyJa8
instagram,1133353,18744,97,0,$93.03,2026-04-11,https://www.instagram.com/reel/DW_x3ZrO2Wz/
instagram,669667,8420,61,0,$400.00,2026-04-10,https://www.instagram.com/reel/DW9SgHhuO6i/
instagram,528552,11149,70,0,$400.00,2026-04-08,https://www.instagram.com/reel/DW34A7uCOwb/
instagram,285597,3616,24,0,$271.45,2026-04-08,https://www.instagram.com/reel/DW4F2bDCLLd/
instagram,266241,23554,28,0,$230.36,2026-04-08,https://www.instagram.com/reel/DW28Wv1kjmN/
instagram,227209,2123,15,0,$217.18,2026-04-08,https://www.instagram.com/reel/DW40azaiJZ1/
instagram,192427,2728,20,0,$190.19,2026-04-08,https://www.instagram.com/reel/DW3PN7dCL-0/
instagram,170237,4103,4,0,$80.74,2026-04-11,https://www.instagram.com/reel/DW_7gysDuLt/
youtube,141623,1000,8,0,$136.88,2026-04-07,https://youtube.com/shorts/g9VhOIiTsrY
instagram,137591,3432,11,0,$133.80,2026-04-08,https://www.instagram.com/reel/DW3hkdljRnT/
instagram,103595,520,17,0,$97.34,2026-04-08,https://www.instagram.com/reel/DW4VNdsDuPA/
instagram,69324,1144,7,0,$69.06,2026-04-08,https://www.instagram.com/reel/DW3elyYjcp2/
instagram,56494,522,9,0,$54.84,2026-04-08,https://www.instagram.com/p/DW44MSXDd5n/
instagram,45993,1137,9,0,$38.99,2026-04-10,https://www.instagram.com/reel/DW9ZM2xki_o/
youtube,35124,644,3,0,$35.08,2026-04-08,https://youtube.com/shorts/vtSZuaPLkAY
youtube,31543,560,3,0,$30.69,2026-04-08,https://youtube.com/shorts/QZ1SjCZ7Sok
youtube,27847,617,15,0,$25.37,2026-04-09,https://youtube.com/shorts/nmj_qL8JfzY
youtube,27179,801,12,0,$27.17,2026-04-08,https://youtube.com/shorts/H5PhKNVnBWQ
youtube,27027,831,7,0,$27.03,2026-04-08,https://youtube.com/shorts/RSfi0LcrEZw
youtube,26595,598,3,0,$26.23,2026-04-08,https://youtube.com/shorts/Nx8UKKuY2Hk
youtube,26389,727,9,0,$26.34,2026-04-07,https://youtube.com/shorts/kqFbLhoRqyU
youtube,24383,475,6,0,$24.36,2026-04-08,https://youtube.com/shorts/ucgYrS7JNSM
instagram,14734,155,0,0,$14.73,2026-04-08,https://www.instagram.com/reel/DW3kBiTiXep/
instagram,13630,242,1,0,$13.63,2026-04-08,https://www.instagram.com/reel/DW3kTBPiWkB/
instagram,8203,130,1,0,$7.73,2026-04-07,https://www.instagram.com/reel/DW2wl5WiNqx/
Date Submitted,Platform,Profile,URL,Views,Likes,Comments,Shares,Engagement Rate,Duration,Last Updated
"Apr 11, 2026",Instagram,https://www.instagram.com/Meme.ig,https://instagram.com/reel/DW_x3ZrO2Wz,1114920,15987,86,0,1.44%,N/A,N/A
"Apr 11, 2026",Instagram,https://www.instagram.com/Meme.ig,https://instagram.com/reel/DW9SgHhuO6i,665934,7821,58,0,1.18%,N/A,N/A
"Apr 11, 2026",Instagram,https://www.instagram.com/moovieshub.ig,https://instagram.com/reel/DXACv8kmL-m,219578,10270,56,0,4.70%,N/A,N/A
"Apr 11, 2026",Instagram,https://www.instagram.com/iconicbloopers,https://instagram.com/reel/DW_7gysDuLt,169010,4061,4,0,2.41%,N/A,N/A
"Apr 11, 2026",Instagram,https://www.instagram.com/iconicbloopers,https://instagram.com/reel/DXAkYV4DpiT,156131,5843,18,0,3.75%,N/A,N/A
"Apr 12, 2026",Instagram,https://www.instagram.com/iconicbloopers,https://instagram.com/reel/DXCSL_Xjuxm,80798,3444,10,0,4.27%,N/A,N/A
"Apr 12, 2026",Instagram,https://www.instagram.com/Dripyhumour,https://instagram.com/reel/DXCkrD_iM2x,57597,477,1,0,0.83%,N/A,N/A
"Apr 12, 2026",Instagram,https://www.instagram.com/millionairegoldmindset,https://instagram.com/reel/DXCXcYrjGNc,54292,139,0,0,0.26%,N/A,N/A
"Apr 10, 2026",Instagram,https://www.instagram.com/watchintohistory,https://instagram.com/reel/DW7paYcD-RJ,52119,377,2,0,0.73%,N/A,N/A
"Apr 8, 2026",Instagram,https://www.instagram.com/gigglix._,https://instagram.com/reel/DW3TZpmiO1v,50840,761,4,0,1.50%,N/A,N/A
"Apr 13, 2026",Instagram,https://www.instagram.com/improvingclip,https://instagram.com/reel/DXDnNg_j1e5,42276,482,0,0,1.14%,N/A,N/A
"Apr 11, 2026",Instagram,https://www.instagram.com/millionairegoldmindset,https://instagram.com/reel/DW_Z1h_jOLk,21483,124,0,0,0.58%,N/A,N/A
"Apr 13, 2026",Instagram,https://www.instagram.com/Dripyhumour,https://instagram.com/reel/DXDrjfwiMfX,20969,211,0,0,1.01%,N/A,N/A
"Apr 9, 2026",Instagram,https://www.instagram.com/rizzlerreelpull,https://instagram.com/reel/DW6aNkhFNAX,19132,299,0,0,1.56%,N/A,N/A
"Apr 11, 2026",Instagram,https://www.instagram.com/millionairegoldmindset,https://instagram.com/reel/DXAB0_UDNe4,18580,91,0,0,0.49%,N/A,N/A
"Apr 9, 2026",Instagram,https://www.instagram.com/fanmania_67,https://instagram.com/reel/DW6-wJvStCW,18242,298,7,0,1.67%,N/A,N/A
"Apr 10, 2026",Instagram,https://www.instagram.com/moovieshub.ig,https://instagram.com/reel/DW9ebHtPnBL,18133,293,6,0,1.65%,N/A,N/A
"Apr 12, 2026",Instagram,https://www.instagram.com/cineversevault1,https://instagram.com/reel/DXCA6VoE51J,18100,263,0,0,1.45%,N/A,N/A
"Apr 12, 2026",Instagram,https://www.instagram.com/millionairegoldmindset,https://instagram.com/reel/DXCXstvDCrW,17672,433,2,0,2.46%,N/A,N/A
"Apr 11, 2026",Instagram,https://www.instagram.com/millionairegoldmindset,https://instagram.com/reel/DXALzKhjJhg,16988,138,0,0,0.81%,N/A,N/A
"Apr 11, 2026",Instagram,https://www.instagram.com/millionairegoldmindset,https://instagram.com/reel/DW_nMlrjLXb,14858,123,0,0,0.83%,N/A,N/A
"Apr 10, 2026",Instagram,https://www.instagram.com/humourjoyusaa,https://instagram.com/reel/DW6WoDvv5gu,12681,187,0,0,1.47%,N/A,N/A
"Apr 12, 2026",Instagram,https://www.instagram.com/humourjoyusaa,https://instagram.com/reel/DXA9s4fPPlb,12505,136,0,0,1.09%,N/A,N/A
"Apr 12, 2026",Instagram,https://www.instagram.com/millionairegoldmindset,https://instagram.com/reel/DXCv8TMDOCG,12349,79,1,0,0.65%,N/A,N/A
"Apr 10, 2026",Instagram,https://www.instagram.com/humourjoyusaa,https://instagram.com/reel/DW7ixCEP89N,12234,176,0,0,1.44%,N/A,N/A
"Apr 12, 2026",Instagram,https://www.instagram.com/w.memessss,https://instagram.com/reel/DXBL8S_CUoW,11964,191,0,0,1.60%,N/A,N/A
"Apr 8, 2026",Instagram,https://www.instagram.com/rizzlerreelpull,https://instagram.com/reel/DW3nqAkEhUN,11810,247,0,0,2.09%,N/A,N/A
"Apr 13, 2026",Instagram,https://www.instagram.com/arcfieldstories,https://instagram.com/reel/DXDoXhSE3Gf,11571,67,0,0,0.58%,N/A,N/A
